FID,FeedTime,CowTag,CurrentCup,MaxCups,CurrentPeriod,MaxPeriods,CupDelay,PeriodDelay,FoodType
1,5/18/24 7:00,000000000840003250681333,5,5,3,6,40,7200,1
1,5/18/24 7:08,000000000840003250681333,3,5,2,6,40,7200,1
1,5/18/24 7:09,000000000840003250681333,4,5,2,6,40,7200,1
1,5/18/24 7:10,000000000840003250681333,5,5,2,6,40,7200,1
1,5/18/24 7:35,000000000840003250681888,1,5,1,6,40,7200,1
1,5/18/24 7:36,000000000840003250681888,2,5,1,6,40,7200,1
1,5/18/24 7:37,000000000840003250681888,3,5,1,6,40,7200,1
1,5/18/24 7:37,000000000840003250681888,4,5,1,6,40,7200,1
1,5/18/24 7:38,000000000840003250681888,5,5,1,6,40,7200,1
1,5/18/24 7:46,000000000840003250681777,1,5,3,6,40,7200,1
1,5/18/24 7:47,000000000840003250681777,2,5,3,6,40,7200,1
1,5/18/24 7:47,000000000840003250681666,1,5,3,6,40,7200,1
1,5/18/24 7:48,000000000840003250681666,2,5,3,6,40,7200,1
1,5/18/24 7:49,000000000840003250681666,3,5,3,6,40,7200,1
1,5/18/24 7:50,000000000840003250681666,4,5,3,6,40,7200,1
1,5/18/24 7:53,000000000840003250681666,5,5,3,6,40,7200,1
1,5/18/24 8:00,000000000840003234513777,1,5,1,6,40,7200,1
1,5/18/24 8:01,000000000840003234513777,2,5,1,6,40,7200,1
1,5/18/24 8:02,000000000840003234513777,3,5,1,6,40,7200,1
1,5/18/24 8:02,000000000840003234513777,4,5,1,6,40,7200,1
1,5/18/24 8:03,000000000840003234513777,5,5,1,6,40,7200,1
1,5/18/24 8:08,000000000840003250681111,1,5,1,6,40,7200,1
1,5/18/24 8:10,000000000840003250681555,1,5,1,6,40,7200,1
1,5/18/24 8:11,000000000840003250681555,2,5,1,6,40,7200,1
1,5/18/24 8:12,000000000840003250681555,3,5,1,6,40,7200,1
1,5/18/24 8:13,000000000840003250681555,4,5,1,6,40,7200,1
1,5/18/24 8:13,000000000840003250681555,5,5,1,6,40,7200,1
1,5/18/24 9:04,000000000840003250681444,1,5,2,6,40,7200,1
1,5/18/24 9:05,000000000840003250681444,2,5,2,6,40,7200,1
1,5/18/24 9:07,000000000840003250681444,3,5,2,6,40,7200,1
1,5/18/24 9:08,000000000840003250681444,4,5,2,6,40,7200,1
1,5/18/24 9:09,000000000840003250681444,5,5,2,6,40,7200,1
1,5/18/24 9:16,000000000840003250681555,1,5,2,6,40,7200,1
1,5/18/24 9:17,000000000840003250681555,2,5,2,6,40,7200,1
1,5/18/24 9:22,000000000840003234513888,1,5,1,6,40,7200,1
1,5/18/24 9:23,000000000840003234513888,2,5,1,6,40,7200,1
1,5/18/24 9:24,000000000840003250681444,1,5,4,6,40,7200,1
1,5/18/24 9:25,000000000840003250681444,2,5,4,6,40,7200,1
1,5/18/24 9:25,000000000840003250681444,3,5,4,6,40,7200,1
1,5/18/24 9:26,000000000840003250681444,4,5,4,6,40,7200,1
1,5/18/24 9:27,000000000840003250681444,5,5,4,6,40,7200,1
1,5/18/24 9:34,000000000840003250681555,3,5,2,6,40,7200,1
1,5/18/24 9:35,000000000840003250681555,4,5,2,6,40,7200,1
1,5/18/24 9:35,000000000840003250681555,5,5,2,6,40,7200,1
1,5/18/24 9:43,000000000840003250681222,1,5,3,6,40,7200,1
1,5/18/24 9:43,000000000840003250681222,2,5,3,6,40,7200,1
1,5/18/24 9:44,000000000840003250681222,3,5,3,6,40,7200,1
1,5/18/24 9:45,000000000840003250681222,4,5,3,6,40,7200,1
1,5/18/24 9:46,000000000840003250681222,5,5,3,6,40,7200,1
